	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Expression
g10	100.00858323797509	1.0464807193265633	0.26666696183457317	3.9242983537486262	8.698288183596046e-05	0.0010780605657850857	UP
g108	103.80161710930003	1.041952812484189	0.31234024114794245	3.3359544343524403	0.0008500709539220084	0.006629472841921426	UP
g1085	482.4716446309564	1.1661552388147067	0.2282290935951798	5.109581869887143	3.2287256052179675e-07	1.0158067481031913e-05	UP
g1139	72.00758364621095	1.167701671248753	0.3387843068742287	3.4467407360821287	0.000567392801723282	0.004801317018720462	UP
g1144	192.7676601204952	1.501883717481897	0.32324650074681965	4.646248958649164	3.3802503507324935e-06	7.308000771135387e-05	UP
g1194	112.9791053341652	1.130154906862776	0.25398250179598475	4.4497353119648775	8.597618353806482e-06	0.00016313316062042092	UP
g13	167.89806691098894	1.0229417149010203	0.2735279375204133	3.739807071168657	0.00018416154940942037	0.001936853323931647	UP
g1301	143.68663279109168	1.483778238719406	0.3565865343109002	4.161060769125206	3.167727721252155e-05	0.0004858502392470493	UP
g1371	81.15271729361466	1.0257978490769815	0.28792756570427436	3.5626941330465094	0.000367068273612476	0.0033362427535000598	UP
g1393	238.05995596024113	1.1074598199081365	0.19352078069808543	5.7226919812601444	1.0484925720310401e-08	5.435917123445434e-07	UP
g1502	143.941437605399	1.0352604125187341	0.2348812394440597	4.407590895590859	1.0452673951511997e-05	0.00019334820510309375	UP
g1584	113.31041171248927	1.4353188896895421	0.5069343052607245	2.831370603240857	0.004634898302561464	0.024442780303336315	UP
g1610	142.5761643271792	1.2566578501427048	0.44054276853332647	2.852521797886782	0.004337383756730654	0.023273920712136353	UP
g163	532.1661139299597	1.1166177896744511	0.21558880627906596	5.179386671073547	2.2261660498986584e-07	7.382447954663929e-06	UP
g1652	141.0999331908202	1.027657023851009	0.26442947961327135	3.886317914908578	0.00010177620205147411	0.0012364297021500864	UP
g1665	299.38932389697214	1.0771251163488458	0.25142411362731637	4.2840963056767825	1.8348342876240232e-05	0.0003156086454553285	UP
g1747	195.1729073678339	1.0114591990444322	0.34748323670887754	2.9108143708579406	0.0036048811671220925	0.02032093043824873	UP
g1748	76.9282188646705	1.5266342145102108	0.5808488435921323	2.6282814046234066	0.00858174911676566	0.03943747627817028	UP
g1758	179.6704555430681	1.0839593212599385	0.28046041133480587	3.864928087714804	0.0001111219343938496	0.0013026746512858612	UP
g1806	291.7547259501515	1.0816261829982294	0.2467959900955453	4.382673245944902	1.1723187455690643e-05	0.00021127345662982132	UP
g1840	1546.6856021184922	1.3178325062772844	0.1505443374384408	8.753783295344205	2.063170838713482e-18	1.8986329643260818e-15	UP
g1866	3021.9277312054505	1.726480696486042	0.592488926780289	2.9139459295350982	0.0035689171550268685	0.020149055287812734	UP
g1887	268.353505619541	1.1905490678885324	0.31162830658426893	3.82041375168398	0.00013322798885341016	0.0015096886021393084	UP
g1902	605.5413367753112	1.1490471684449413	0.19913582402662083	5.770168045159641	7.919252033177553e-09	4.2247488020473296e-07	UP
g1945	46.410380260383384	1.1546096868956195	0.4134115457832048	2.7928820534226273	0.0052240736206740955	0.02641458104079855	UP
g1992	263.3173304211403	1.205037003737447	0.2201355638859464	5.4740678083337055	4.398206416605848e-08	1.8825346301774566e-06	UP
g2045	455.11800500348437	1.4617402293980457	0.17516247739633456	8.345053410557858	7.118170751385092e-17	3.3511192864063477e-14	UP
g2069	128.98550335588664	1.1896052600939406	0.23362937168713444	5.091848047629065	3.54590236594843e-07	1.0877055507546809e-05	UP
g2093	348.3014096736967	1.059206940842454	0.29651277937513504	3.572213457627712	0.00035397669969696594	0.0032493472109339943	UP
g2220	47357.27016251325	1.5559252945682327	0.5323137408840443	2.9229478314503354	0.0034673460505827416	0.019726894609265955	UP
g2221	11998.204207540926	1.4320441400171335	0.46350530497291126	3.089596008185552	0.0020042891604795427	0.012898231468051042	UP
g2222	283.4406899240139	1.0321531768264147	0.3186529046900619	3.239114289042303	0.001199015176146498	0.00870527586468493	UP
g2224	104.20913620747604	1.2693407633730664	0.3321474703162215	3.82161803660461	0.0001325789291149205	0.0015096886021393084	UP
g2252	106.53264350555008	1.7307882128469017	0.41417958797842175	4.1788351311438205	2.930059906749153e-05	0.0004570148524043912	UP
g2263	173.31081460167772	1.2737004561197973	0.25451651078664655	5.004392258023299	5.603854380062842e-07	1.6242352734654583e-05	UP
g2286	93.06108410019421	1.167546643826502	0.3049997761060114	3.8280245931088412	0.0001291758518203083	0.0014812969176029747	UP
g2342	924.6292577531875	1.215926281017187	0.24447196965753928	4.973683824450215	6.569242116502434e-07	1.8459068878507987e-05	UP
g2345	9097.19287539569	-1.0872353536298973	0.18406722554308103	-5.90672973106464	3.4896554718401344e-09	2.0718422244908927e-07	DOWN
g2372	102.24796086631322	1.6455015660884451	0.45555743528223236	3.6120617042920276	0.00030377225831964373	0.002904378397076905	UP
g2570	347.64787676065725	1.0858389142388707	0.1782265507400953	6.09246439281839	1.1118558059769619e-09	7.308466467502137e-08	UP
g2572	624.9842885073953	1.0495563523423872	0.13990409528535744	7.5019701903768015	6.286567120201923e-14	1.3612266805566635e-11	UP
g2674	36222.10095386056	1.3863352099001296	0.5502052201673818	2.519669314439406	0.011746513148791335	0.0495859115833726	UP
g2757	104.75217623143892	1.0222754696268561	0.2838086891835732	3.601987918578587	0.0003157930440044723	0.0029882627120320377	UP
g2813	149.68863674639508	1.162860322586227	0.34243460364313466	3.3958610205120863	0.0006841308712364337	0.005534693927519368	UP
g2815	75.51758578279821	1.1453812514009	0.34078733105916875	3.36098542114535	0.0007766492483885595	0.006121725660210467	UP
g2864	370.8730308053602	1.0715695862286259	0.1662502669720514	6.445520995216021	1.1520397675982638e-10	1.0601645961323024e-08	UP
g2970	60.04075569959139	1.207266553781053	0.35410199749072696	3.4093751583896905	0.0006511187146786802	0.005343202920886492	UP
g3017	184.49425599421727	1.1002703161811023	0.2721109119331765	4.043462676172651	5.266754358640936e-05	0.0007261019773092617	UP
g3030	63.40553694630176	1.800057236744069	0.39910126018327274	4.510277005683866	6.4743027592808214e-06	0.0001274433607321535	UP
g3032	84.18495666249495	1.3401885571368506	0.29148213955172475	4.597841086242708	4.268913964025639e-06	8.97935560090193e-05	UP
g3094	2964.5649298572393	2.2164069895744762	0.1951966338247823	11.354739813618034	7.02487103029187e-30	2.5858550262504374e-26	UP
g3145	400.244948956934	1.6966840172513311	0.2016702690043751	8.41315889361224	3.991137324518555e-17	2.4485627485921335e-14	UP
g3154	184.46808698632188	1.1106272881660009	0.3796321161353703	2.9255356461200197	0.003438637789538572	0.019646344010711334	UP
g3157	792.4482592766603	1.0467425778955368	0.12882776029965662	8.12513215677108	4.468752373155875e-16	1.6449477485586779e-13	UP
g3164	260.0205659933503	1.5692987121408657	0.5978744620463274	2.6247963607103624	0.00867008039794309	0.039694733762224516	UP
g3171	123.25814612169764	1.0036024766645746	0.23231371129093983	4.3200311814902115	1.5600715530998028e-05	0.0002721622458275059	UP
g346	2391.7017016169325	1.1283479765532325	0.3774304229152239	2.989552267244432	0.0027938664330422543	0.01688706459774801	UP
g3531	4819.0921250113015	1.5337468317377838	0.5452156030986827	2.8131015015360434	0.004906616045201937	0.025402607120096104	UP
g3625	199.503775371615	1.0463324962349259	0.2112916965281488	4.952075795820641	7.342599205299232e-07	2.0170229607989904e-05	UP
g3708	1304.8241117640587	1.2706276712271505	0.198746092201668	6.393220903874892	1.6242733545596788e-10	1.3286556040298172e-08	UP
g3740	180.18919142603553	1.2227897740087978	0.3829611891296139	3.192986152951762	0.0014080969860705108	0.009929511505221362	UP
g3744	607.7421773563306	1.1162431911988424	0.2647601429427726	4.216054496692563	2.486137048243807e-05	0.0004067320210926868	UP
g3841	395.88615969385404	1.0951046778364026	0.20337294797253244	5.384711628334696	7.25608856476337e-08	2.782256459051455e-06	UP
g3850	465.3282135173055	1.7512436917198644	0.6605255104620198	2.651288502839075	0.008018531524494575	0.03745712505287377	UP
g3889	42.9467606513869	1.2349689604393632	0.40750260992853976	3.0305792658749575	0.002440851090265836	0.014995292109107952	UP
g3932	639.187081112468	1.286427130257773	0.18057312344679777	7.1241340112101055	1.0473710134519585e-12	1.6064052918819413e-10	UP
g4001	62.366276566571976	1.3412095565781466	0.47286351655949227	2.836356601026557	0.004563146477383546	0.024168262134170983	UP
g414	64.09027947122051	1.7434870079370595	0.46049271579923695	3.7861337391863876	0.0001530093463135261	0.0016863095921559568	UP
g480	2178.570027990511	1.1894607467846599	0.4235611005990922	2.808238870619294	0.004981326266125123	0.025549459121987247	UP
g563	56.83336788800836	1.2337983393547007	0.41669595986590846	2.960907851738552	0.0030673369701119148	0.018094338761189037	UP
g583	84.62260578869305	1.4552036061538547	0.5593963144284042	2.601382184008119	0.009284895121202463	0.04157870917414387	UP
g591	53.35150722267978	1.637878106868518	0.5190910271244857	3.1552810996205687	0.0016034353769210942	0.011011652280683858	UP
g658	33.399214996830445	1.4430233664442307	0.5133079215530663	2.811223645406083	0.004935346753931054	0.025443993559131947	UP
g684	64.11597061941983	1.3693789209507004	0.5276582664329387	2.595200356109152	0.0094535793209002	0.04223134160222529	UP
g707	13865.925588282555	1.4788979323915166	0.4340704405728774	3.407045940377089	0.000656700727019618	0.005371811947020475	UP
g708	236.4649138600553	2.597228565854776	0.715488276710151	3.630008555551679	0.00028341182568022576	0.0027672120167875625	UP
g711	588.4290463217808	1.2519738546129493	0.23444903055611507	5.340068379226209	9.29115304521353e-08	3.386211322715941e-06	UP
g731	64.76921150842686	1.6092350621719969	0.3393941321184576	4.741493472875751	2.121484938295012e-06	5.0198387068711246e-05	UP
g824	57.39308127979331	1.2357396215133067	0.3429850615513026	3.602896335846594	0.0003146910533407833	0.0029855097096583073	UP
g845	1149.4933162291745	-1.1380846921104422	0.12778357023655443	-8.906346019316931	5.274213533991886e-19	6.471460006208043e-16	DOWN
g954	584.3075791541418	1.0614073818517336	0.2145564061925289	4.946985273883159	7.537167606569812e-07	2.0486257600280825e-05	UP
g986	73.65648880967812	1.1388938260248793	0.3212552017906197	3.545137385097226	0.00039240849862221124	0.003505960396670776	UP
